bossId,stage,passRate,killSecMedian,uptimeMedian
manta,1,0.0000,,0.0341
kiln,1,0.0000,,0.0440
thornKing,1,0.0000,,0.0438
manta,2,0.0000,,0.0424
frostCrown,2,0.0000,,0.0342
kiln,2,0.0000,,0.0589
scarab,2,0.0000,,0.0415
thornKing,2,0.0000,,0.0454
mire,2,0.0000,,0.0323
manta,3,0.0000,,0.0206
frostCrown,3,0.0000,,0.0398
kiln,3,0.0000,,0.0327
scarab,3,0.0000,,0.0449
thornKing,3,0.0000,,0.0411
mire,3,0.0000,,0.0775
manta,4,0.0000,,0.0608
frostCrown,4,0.0000,,0.0545
kiln,4,0.0000,,0.0752
scarab,4,0.0000,,0.0839
thornKing,4,0.0000,,0.0492
mire,4,0.0000,,0.0757
manta,5,0.0000,,0.0478
frostCrown,5,0.0000,,0.0498
kiln,5,0.0000,,0.0498
scarab,5,0.0000,,0.0369
thornKing,5,0.0000,,0.0699
mire,5,0.0000,,0.0428
tetrarch,6,0.0000,,0.0802
