runSeed,stagesCleared,levelUps,endCoins,score,deathCause
0,0,4,0,17930,timeout
1,0,3,3,15950,hp
2,0,2,3,15490,hp
3,0,2,0,15645,hp
4,0,3,0,15900,hp
5,0,2,0,15510,hp
6,0,1,0,15225,hp
7,0,2,0,15365,hp
8,0,2,3,15370,hp
9,0,3,0,16020,hp
10,0,2,0,15875,hp
11,0,2,0,15705,hp
12,0,4,0,16335,hp
13,0,2,3,15330,hp
14,0,4,0,16395,hp
15,0,3,0,16030,hp
16,0,1,0,15200,hp
17,0,2,0,15485,hp
18,0,5,12,16525,hp
19,0,3,0,15790,hp
20,0,2,0,15270,hp
21,0,1,0,15145,hp
22,0,4,0,17275,timeout
23,0,4,0,16380,hp
24,0,1,0,15185,hp
25,0,3,0,15740,hp
26,0,3,0,17145,timeout
27,0,1,0,15145,hp
28,0,2,0,15290,hp
29,0,1,0,15175,hp
